Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,duck
"MJ Di Venuto (AUS)",1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0
"GD Drummond (SCOT)",2007-2013,30,20,7,240,35*,18.46,262,91.6,0,0,2
"DK Lillee (AUS)",1972-1983,63,34,8,240,42*,9.23,320,75,0,0,6
"CM Wright (SCOT)",2006-2009,20,18,3,240,37,16,351,68.37,0,0,2
"Amjad Javed (UAE)",2008-2017,15,13,1,239,56,19.91,267,89.51,0,1,1
"CRD Fernando (Asia/SL)",2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9
"J Garner (WI)",1977-1987,98,41,15,239,37,9.19,360,66.38,0,0,5
"T Panyangara (ZIM)",2004-2016,65,49,13,239,33,6.63,463,51.61,0,0,9
"KJ Arnott (ZIM)",1987-1993,13,12,2,238,60,23.8,491,48.47,0,3,0
"DC Thomas (WI)",2009-2013,21,19,2,238,37,14,364,65.38,0,0,3
"NS Poonia (SCOT)",2006-2009,21,21,0,237,67,11.28,377,62.86,0,1,7
"Enamul Haque (BDESH)",1990-2002,29,26,5,236,32,11.23,479,49.26,0,0,1
"GJ Hopkins (NZ)",2004-2010,25,17,1,236,45,14.75,311,75.88,0,0,3
"LM Jongwe (ZIM)",2014-2016,22,19,3,236,46,14.75,303,77.88,0,0,2
"Khurram Manzoor (PAK)",2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1
"GR Codrington (CAN)",2006-2007,17,15,3,235,45*,19.58,372,63.17,0,0,1
"JP Crawley (ENG)",1994-1999,13,12,1,235,73,21.36,408,57.59,0,2,2
"P Khadka (NEPAL)",2018-2019,6,6,0,235,115,39.16,286,82.16,1,1,0
"PJ Cummins (AUS)",2011-2019,58,35,12,234,36,10.17,328,71.34,0,0,5
"Iftikhar Anjum (PAK)",2004-2010,62,34,19,234,32,15.6,378,61.9,0,0,4
"Ikram Alikhil (AFG)",2019-2019,12,12,3,234,86,26,386,60.62,0,2,0
"P Mustard (ENG)",2007-2008,10,10,0,233,83,23.3,252,92.46,0,1,0
"AME Roberts (WI)",1975-1983,56,32,9,231,37*,10.04,357,64.7,0,0,3
"STR Binny (INDIA)",2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1
"TM Chappell (AUS)",1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2
"SHU Karnain (SL)",1984-1990,19,17,5,229,41*,19.08,386,59.32,0,0,2
"TM Dowlin (WI)",2009-2010,11,11,2,228,100*,25.33,348,65.51,1,1,2
"DR Flynn (NZ)",2008-2012,20,17,2,228,35,15.2,360,63.33,0,0,3
"AY Karim (KENYA)",1996-2003,34,24,6,228,53,12.66,375,60.8,0,1,5
"SR Thompson (IRE)",2013-2017,20,15,1,228,39,16.28,251,90.83,0,0,0
"M Dillon (WI)",1997-2005,108,51,20,227,21*,7.32,411,55.23,0,0,9
"AMJ Hilditch (AUS)",1979-1985,8,8,0,226,72,28.25,476,47.47,0,1,0
"Raza-ur-Rehman (CAN)",2013-2014,6,5,0,225,88,45,262,85.87,0,3,1
"BP Julian (AUS)",1993-1999,25,17,0,224,35,13.17,250,89.6,0,0,4
"KR Stackpole (AUS)",1971-1974,6,6,0,224,61,37.33,387,57.88,0,3,0
"JH Edrich (ENG)",1971-1975,7,6,0,223,90,37.16,325,68.61,0,2,0
"V Shankar (INDIA)",2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0
"KM Jarvis (ZIM)",2009-2019,49,33,10,222,37,9.65,337,65.87,0,0,4
"Aqib Ilyas (OMAN)",2019-2019,5,5,0,221,63,44.2,282,78.36,0,2,0
"BKV Prasad (INDIA)",1994-2001,161,63,31,221,19,6.9,367,60.21,0,0,8
"Sarfraz Nawaz (PAK)",1973-1984,45,31,8,221,34*,9.6,345,64.05,0,0,5
"Wasim Bari (PAK)",1973-1984,51,26,13,221,34,17,431,51.27,0,0,0
"HS Baidwan (CAN)",2008-2014,32,22,7,220,33,14.66,339,64.89,0,0,3
"DR Lockhart (SCOT)",2006-2010,14,11,2,218,46,24.22,341,63.92,0,0,1
"Y Venugopal Rao (INDIA)",2005-2006,16,11,2,218,61*,24.22,363,60.05,0,1,2
"NR Kumar (CAN)",2010-2014,16,15,1,217,38,15.5,397,54.65,0,0,1
"FA Rose (WI)",1997-2000,27,23,5,217,30,12.05,265,81.88,0,0,2
"EO Simons (SA)",1994-1995,23,18,4,217,24,15.5,295,73.55,0,0,1
"V Dahiya (INDIA)",2000-2001,19,15,2,216,51,16.61,267,80.89,0,1,2
"WK Lees (NZ)",1979-1983,31,24,5,215,26,11.31,307,70.03,0,0,1
"NO Perry (WI)",1999-2000,21,16,8,212,52*,26.5,340,62.35,0,1,2
"FRJ Coleman (SCOT)",2013-2015,16,14,0,211,70,15.07,344,61.33,0,1,2
"MJ Henry (NZ)",2014-2019,52,21,7,211,48*,15.07,211,100,0,0,3
"KS Lokuarachchi (SL)",2003-2007,21,18,3,210,69,14,262,80.15,0,1,2
"CPH Ramanayake (SL)",1986-1995,62,35,14,210,26,10,374,56.14,0,0,7
"Tahir Naqqash (PAK)",1980-1985,40,23,9,210,61,15,242,86.77,0,1,4
"Mushtaq Mohammad (PAK)",1973-1978,10,9,3,209,55,34.83,353,59.2,0,1,0
"MHW Papps (NZ)",2004-2005,6,6,2,207,92*,51.75,342,60.52,0,2,0
"DL Bairstow (ENG)",1979-1984,21,20,6,206,23*,14.71,390,52.82,0,0,1
"AR Berenger (UAE)",2014-2015,10,10,0,205,66,20.5,304,67.43,0,2,0
"PE McEwan (NZ)",1980-1985,17,15,0,204,41,13.6,346,58.95,0,0,0
"JA Rennie (ZIM)",1993-2000,44,27,12,201,27,13.4,391,51.4,0,0,6
"APE Knott (ENG)",1971-1977,20,14,4,200,50,20,247,80.97,0,1,2
"NW Bracken (AUS)",2001-2009,116,35,18,199,21*,11.7,282,70.56,0,0,5
"AJ Burger (NAM)",2003-2003,6,6,0,199,85,33.16,198,100.5,0,1,0
"Mohammad Nawaz (3) (PAK)",2016-2019,15,12,3,199,53,22.11,213,93.42,0,1,0
"Moin-ul-Atiq (PAK)",1988-1989,5,5,0,199,105,39.8,279,71.32,1,0,0
"M Ntini (ICC/SA)",1998-2009,173,47,24,199,42*,8.65,298,66.77,0,0,9
"Ijaz Faqih (PAK)",1980-1988,27,19,3,197,42*,12.31,351,56.12,0,0,4
"GA Lamb (ZIM)",2010-2011,15,14,3,197,37,17.9,381,51.7,0,0,1
"MR Swart (NL)",2011-2014,12,11,1,197,52,19.7,272,72.42,0,1,1
"T Maruma (ZIM)",2007-2019,21,18,1,196,35,11.52,330,59.39,0,0,1
"AP Devcich (NZ)",2013-2016,12,11,0,195,58,17.72,253,77.07,0,1,2
"GSNFG Jayasuriya (SL)",2015-2019,12,10,1,195,96,21.66,273,71.42,0,1,2
"ASA Perera (SL)",1998-2001,20,13,2,195,56*,17.72,257,75.87,0,1,1
"Akram Raza (PAK)",1989-1995,49,25,14,193,33*,17.54,310,62.25,0,0,4
"PJ Ingram (NZ)",2010-2010,8,7,0,193,69,27.57,238,81.09,0,1,0
"C Pringle (NZ)",1990-1995,64,41,19,193,34*,8.77,256,75.39,0,0,3
"V Rathour (INDIA)",1996-1997,7,7,0,193,54,27.57,331,58.3,0,2,0
"Simi Singh (IRE)",2017-2019,15,14,1,193,45,14.84,332,58.13,0,0,1
"MM Iqbal (SCOT)",2009-2014,13,12,4,192,63,24,360,53.33,0,1,2
"CJ Smith (BMUDA)",2006-2007,12,12,0,192,52,16,245,78.36,0,1,3
"Abid Ali (PAK)",2019-2019,4,4,0,191,112,47.75,196,97.44,1,1,1
"DAG Fletcher (ZIM)",1983-1983,6,6,2,191,71*,47.75,289,66.08,0,2,0
"TN Madondo (ZIM)",1998-2001,13,13,1,191,71,15.91,331,57.7,0,1,2
"Mohammad Boota (UAE)",2018-2019,9,9,1,191,59*,23.87,252,75.79,0,1,0
"Shabir Noori (AFG)",2010-2016,10,10,0,191,94,19.1,300,63.66,0,1,2
"CJ McKay (AUS)",2009-2014,59,31,10,190,30,9.04,337,56.37,0,0,3
"Mohammad Shahzad (UAE)",2014-2016,6,6,0,190,79,31.66,225,84.44,0,2,2
"Usman Limbada (CAN)",2010-2014,11,11,1,189,50,18.9,284,66.54,0,1,1
"BAW Mendis (SL)",2008-2015,87,42,19,188,21*,8.17,263,71.48,0,0,10
"TJ Murtagh (IRE)",2012-2019,58,36,12,188,23*,7.83,298,63.08,0,0,7
"T Mupariwa (ZIM)",2004-2016,40,32,10,185,33,8.4,325,56.92,0,0,9
"SW Poynter (IRE)",2014-2019,21,19,5,185,36,13.21,278,66.54,0,0,2
"EAE Baptiste (WI)",1983-1990,43,16,4,184,31,15.33,241,76.34,0,0,0
"JL Ontong (Afr/SA)",2001-2012,28,16,2,184,32,13.14,267,68.91,0,0,1
"Saadat Ali (PAK)",1984-1984,8,7,1,184,78*,30.66,341,53.95,0,1,0
"Sohag Gazi (BDESH)",2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0
"SI de Saram (SL)",1999-2001,15,13,2,183,38,16.63,270,67.77,0,0,0
"SJ Benn (WI)",2008-2016,47,30,7,182,31,7.91,240,75.83,0,0,5
"SR Taylor (USA)",2019-2019,9,9,0,182,56,20.22,265,68.67,0,1,2
"AR Patel (INDIA)",2014-2017,38,20,6,181,38,12.92,190,95.26,0,0,3
"JR Thomson (AUS)",1975-1985,50,30,6,181,21,7.54,280,64.64,0,0,5
"SB Bangar (INDIA)",2002-2004,15,15,2,180,57*,13.84,239,75.31,0,1,3
"DG Cork (ENG)",1992-2002,32,21,3,180,31*,10,271,66.42,0,0,4
"WF Stelling (NL)",2006-2007,15,11,5,180,44,30,272,66.17,0,0,1
"B Warnapura (SL)",1975-1982,12,12,0,180,77,15,415,43.37,0,1,1
"Mazhar Hussain (UAE)",1994-1996,7,7,0,179,70,25.57,334,53.59,0,1,0
"DM Richards (WI)",2009-2010,8,7,0,179,59,25.57,251,71.31,0,2,0
"TK Curran (ENG)",2017-2019,17,11,7,178,47*,44.5,166,107.22,0,0,2
"SC Khanna (INDIA)",1979-1984,10,10,2,176,56,22,265,66.41,0,2,1
"TC Bastiampillai (CAN)",2007-2014,13,13,0,175,49,13.46,301,58.13,0,0,2
"BR Blair (NZ)",1982-1986,14,14,2,174,29*,14.5,253,68.77,0,0,2
"GC Dyer (AUS)",1986-1988,23,13,2,174,45*,15.81,227,76.65,0,0,1
"MD Moxon (ENG)",1985-1988,8,8,0,174,70,21.75,325,53.53,0,1,1
"GRJ Roope (ENG)",1973-1978,8,8,0,173,44,21.62,342,50.58,0,0,1
